Datos del campo eléctrico dentro de una guía de ondas
rectangular, tomados de una práctica de TEE
s es la posición de la sonda que mide el campo en mm
|E| es el módulo del campo eléctrico en unidades arbitrarias
s	|E|
0	18.319
1	17.217
2	16.021
3	14.697
4	13.434
5	12.524
6	12.094
7	12.238
8	13.273
9	14.452
10	16.127
11	17.608
12	19.018
13	19.959
14	20.461
15	20.576
16	20.384
17	19.725
18	18.700
19	17.690
20	16.361
21	14.983
22	13.709
23	12.736
24	12.190
25	12.190
26	12.807
27	14.071
28	15.721
29	17.321
30	18.580
31	19.608
32	20.307
33	20.537
34	20.345
35	19.725
36	18.938
37	18.056
38	16.592
39	15.527
40	14.116
