r	Vc	N	s	s/N1/2
arc sec	km/s	-	km/s	km/s
1.25	22	7	10.2	3.9
3.75	37.3	6	10.6	4.3
6.25	55.1	7	28.1	10.6
8.75	78.4	8	9.4	3.3
11.25	95.4	9	13.9	4.6
13.75	113.2	6	6.7	2.7
16.25	132.6	5	2.5	1.1
18.75	143.5	6	6	2.4
21.25	151.3	7	9.5	3.6
23.75	159.1	7	4.6	1.7
26.25	169.2	8	7.5	2.7
28.75	173.5	6	2.9	1.2
31.25	176.5	7	6.4	2.4
33.75	179.2	7	13	4.9
36.25	178.7	7	12.8	4.8
37.5	175.5	12	8.9	2.6
42.5	162.6	15	18.2	4.7
47.5	161.9	11	21.6	6.5
52.5	172.3	12	26.4	7.6
57.5	158.7	9	27.5	9.2
62.5	165.7	11	15.6	4.7
67.5	170.7	12	20.6	5.9
72.5	171	8	23.1	8.2
75	170	12	19.1	5.5
85	174.9	4	24.3	12.2
130.52	180.1	15	32.4	8.4
